aberdeen	Aberdeen
tin hau	Tin Hau
tin ma court	Tin Ma Court
tin shui wai	Tin Shui Wai
tin wan	Tin Wan
tin wan estate	Tin Wan Estate
ting kau	Ting Kau
ting kok	Ting Kok
tiu keng leng	Tiu Keng Leng
to kwa wan	To Kwa Wan
tseung kwan o	Tseung Kwan O
tsim sha tsui	Tsim Sha Tsui
tsing yi town	Tsing Yi Town
tsuen wan	Tsuen Wan
tsui chuk garden	Tsui Chuk Garden
tsui wan estate	Tsui Wan Estate
tsz ching estate	Tsz Ching Estate
tsz hong estate	Tsz Hong Estate
tsz man estate	Tsz Man Estate
tsz wan shan	Tsz Wan Shan
tuen mun	Tuen Mun
tuen mun san hui	Tuen Mun San Hui
tung chun court	Tung Chun Court
tung chung	Tung Chung
tung hei court	Tung Hei Court
tung tao court	Tung Tao Court
tung tau estate	Tung Tau Estate
tung tau tsuen	Tung Tau Tsuen
tung wui estate	Tung Wui Estate
tung yuk court	Tung Yuk Court
un chau estate	Un Chau Estate
upper wong tai sin estate	Upper Wong Tai Sin Estate
victoria	Victoria
victoria park	Victoria Park
wah fu	Wah Fu
wah kwai	Wah Kwai
wah kwai estate	Wah Kwai Estate
wan chai	Wan Chai
wan tsui estate	Wan Tsui Estate
wang tau hom	Wang Tau Hom
wang tau hom estate	Wang Tau Hom Estate
whampoa	Whampoa
whampoa estate	Whampoa Estate
whampoa garden	Whampoa Garden
wing cheong estate	Wing Cheong Estate
wo che	Wo Che
wong chuk hang	Wong Chuk Hang
wong tai sin	Wong Tai Sin
wu kai sha	Wu Kai Sha
wu king	Wu King
yau ma tei	Yau Ma Tei
yau tong	Yau Tong
yau yat chuen	Yau Yat Chuen
yeung uk tsuen	Yeung Uk Tsuen
yiu tung estate	Yiu Tung Estate
yu chui	Yu Chui
yue fai court	Yue Fai Court
yue kwong chuen	Yue Kwong Chuen
yue on court	Yue On Court
yue wan estate	Yue Wan Estate
yuen long	Yuen Long
yuen long kau hui	Yuen Long Kau Hui
yuen long san hui	Yuen Long San Hui
yuet wu	Yuet Wu
yung shue wan	Yung Shue Wan
